"name.x","fips","population.x","pop_sqmi.x","white.x","black.x","hispanic.x","other_race.x","pct_male.x","pct_female.x","med_age.x","all_rate.x","mddo_rate.x","nppa_rate.x","count_all.x","mddo_count.x","nppa_count.x","name.y","population.y","pop_sqmi.y","white.y","black.y","hispanic.y","other_race.y","pct_male.y","pct_female.y","med_age.y","all_rate.y","mddo_rate.y","nppa_rate.y","count_all.y","mddo_count.y","nppa_count.y","year","pct_change_all","pct_change_mddo","pct_change_nppa"
"Adair",19001,7647,13.4,98.8361448934223,0.143847260363541,1.3207793906107,0.444618804760037,49.7842291094547,50.6734667189748,45.3,9.15391656858899,7.8462142016477,1.30770236694128,7,6,1,"Adair",7647,13.4,98.8361448934223,0.143847260363541,1.3207793906107,0.444618804760037,49.7842291094547,50.6734667189748,45.3,9.15391656858899,7.8462142016477,1.30770236694128,7,6,1,"2015 - 2017",0,0,0
"Adams",19003,3987,9.4,99.147228492601,0.200652119388011,0.928016052169551,0.0752445447705041,50.0125407574618,51.0408828693253,46.5,0,0,0,0,0,0,"Adams",3987,9.4,99.147228492601,0.200652119388011,0.928016052169551,0.0752445447705041,50.0125407574618,51.0408828693253,46.5,12.5407574617507,12.5407574617507,0,5,5,0,"2015 - 2017",-0.125407574617507,-0.125407574617507,0
"Audubon",19009,6037,13.6,99.9171774059964,0.165645188007288,0.612887195626967,0.099387112804373,48.9812820937552,52.3770084479046,46.8,4.96935564021865,4.96935564021865,0,3,3,0,"Audubon",6037,13.6,99.9171774059964,0.165645188007288,0.612887195626967,0.099387112804373,48.9812820937552,52.3770084479046,46.8,1.65645188007288,1.65645188007288,0,1,1,0,"2015 - 2017",0.0331290376014577,0.0331290376014577,0
"Boone",19015,26397,46,96.6359813615183,0.780391711179301,1.91309618517256,0.579611319468121,50.0132590824715,49.6420047732697,40.8,3.40947834981248,3.40947834981248,0,9,9,0,"Boone",26397,46,96.6359813615183,0.780391711179301,1.91309618517256,0.579611319468121,50.0132590824715,49.6420047732697,40.8,2.65181649429859,2.27298556654165,0.378830927756942,7,6,1,"2015 - 2017",0.00757661855513884,0.0113649278327083,-0.00378830927756942
"Buena Vista",19021,20435,35.2,79.9657450452655,2.64252507952043,22.549547345241,8.45608025446538,49.6305358453633,49.5130902862735,37.1,1.95742598482995,1.95742598482995,0,4,4,0,"Buena Vista",20435,35.2,79.9657450452655,2.64252507952043,22.549547345241,8.45608025446538,49.6305358453633,49.5130902862735,37.1,5.87227795448985,4.89356496207487,0.978712992414974,12,10,2,"2015 - 2017",-0.039148519696599,-0.0293613897724492,-0.00978712992414974
"Calhoun",19025,10047,17.6,94.8143724494874,0.218970837065791,0.895789787996417,0.209017617199164,46.7502737135463,49.4973623967353,47.5,5.97193191997611,2.98596595998806,2.98596595998806,6,3,3,"Calhoun",10047,17.6,94.8143724494874,0.218970837065791,0.895789787996417,0.209017617199164,46.7502737135463,49.4973623967353,47.5,5.97193191997611,1.99064397332537,3.98128794665074,6,2,4,"2015 - 2017",0,0.00995321986662685,-0.00995321986662685
"Carroll",19027,20780,36.4,97.4494706448508,0.399422521655438,1.60250240615977,0.861405197305101,48.8017324350337,51.3715110683349,42.1,12.0307988450433,10.5871029836381,1.4436958614052,25,22,3,"Carroll",20780,36.4,97.4494706448508,0.399422521655438,1.60250240615977,0.861405197305101,48.8017324350337,51.3715110683349,42.1,12.0307988450433,11.0683349374398,0.962463907603465,25,23,2,"2015 - 2017",0,-0.00481231953801732,0.00481231953801732
"Cass",19029,13872,24.6,98.2987312572088,0.252306805074971,1.82381776239908,0.69204152249135,49.1565743944637,51.4489619377163,45.1,9.37139561707036,5.76701268742791,3.60438292964245,13,8,5,"Cass",13872,24.6,98.2987312572088,0.252306805074971,1.82381776239908,0.69204152249135,49.1565743944637,51.4489619377163,45.1,10.0922722029988,5.76701268742791,4.32525951557093,14,8,6,"2015 - 2017",-0.00720876585928489,0,-0.00720876585928489
"Cherokee",19035,11935,20.7,97.7545035609552,0.552995391705069,2.29576874738165,1.097612065354,49.8868873062421,51.2609970674487,46.7,7.54084625052367,5.02723083368245,2.51361541684122,9,6,3,"Cherokee",11935,20.7,97.7545035609552,0.552995391705069,2.29576874738165,1.097612065354,49.8868873062421,51.2609970674487,46.7,9.21658986175115,5.02723083368245,4.18935902806871,11,6,5,"2015 - 2017",-0.0167574361122748,0,-0.0167574361122748
"Clarke",19039,9323,21.6,93.939718974579,0.418320283170653,9.94315134613322,3.53963316529014,49.6192212807036,49.9839107583396,40.2,3.21784833208195,3.21784833208195,0,3,3,0,"Clarke",9323,21.6,93.939718974579,0.418320283170653,9.94315134613322,3.53963316529014,49.6192212807036,49.9839107583396,40.2,10.7261611069398,10.7261611069398,0,10,10,0,"2015 - 2017",-0.0750831277485788,-0.0750831277485788,0
